ids,names,rating,review_count,price,transactions,is_closed,type_food,type_food_alias,latitude,longitude,country,state,city,zip_code
5yAcCvXU_gPK1z_PAGv-QA,The Exchange,5.0,2,,,False,Food Court,food_court,32.77929,-96.80001,US,TX,Dallas,75202
tE1mxJF_wHvAq7rVlJMmBg,Midnight Rambler,4.0,189,$$,,False,"American (New), Cocktail Bars","newamerican, cocktailbars",32.7807376,-96.7984467,US,TX,Dallas,75201
2du8UWngTa8anhmmYa-HdQ,Sky Blossom,4.0,109,$$,"['delivery', 'pickup']",False,"Vietnamese, Asian Fusion, Bars","vietnamese, asianfusion, bars",32.7812,-96.79903,US,TX,Dallas,75201
HpFbDC5PGQscdj49j6GaSw,The Empanada Cookhouse,4.5,53,,"['delivery', 'pickup']",False,"Empanadas, Latin American","empanadas, latin",32.7824625,-96.8048533,US,TX,Dallas,75202
8B2asBf5t77_9V2RH20YPg,WingBucket,4.0,525,$$,"['delivery', 'pickup']",False,"Chicken Wings, Chicken Shop, Soul Food","chicken_wings, chickenshop, soulfood",32.7800568007201,-96.8015836662705,US,TX,Dallas,75202
iQMXjmLL2ER_lljf404j-A,La Tarte Tropézienne,4.5,33,,,False,"Desserts, Patisserie/Cake Shop, French","desserts, cakeshop, french",32.7810076628829,-96.7973130941391,US,TX,Dallas,75201
Il32ChEdjkd5fxk0i-wf0A,Momo Shack Himalayan Dumplings,4.5,24,$,,False,"Himalayan/Nepalese, Food Stands","himalayan, foodstands",32.7840614318848,-96.794548034668,US,TX,Dallas,75201
OseLHyUULSVhYyyrr6okFg,Bullion,4.5,182,$$$,['delivery'],False,"Brasseries, Bars","brasseries, bars",32.77664,-96.805583,US,TX,Dallas,75202
yVuzaTxmVo3VqClZ5ID7aw,Texas Spice,4.0,403,$$,['delivery'],False,American (New),newamerican,32.7758770087906,-96.8047791739758,US,TX,Dallas,75202
sqhaTs9xc3G8OWHihGBipQ,Terry Black's Barbecue,4.5,396,$$,['delivery'],False,Barbeque,bbq,32.78488,-96.77984,US,TX,Dallas,75226
CNbNYbDVKUP8Cuv9RKTnvA,Nobu,4.0,575,$$$$,['delivery'],False,"Japanese, Sushi Bars, Asian Fusion","japanese, sushi, asianfusion",32.794255,-96.803958,US,TX,Dallas,75201
DFDzmTV_piFkr7AeKO8E6A,The French Room,4.0,102,$$$$,,False,French,french,32.7800839465349,-96.7997282,US,TX,Dallas,75202
_MCZEs60lSri5jAdcqTiYQ,Bread Zeppelin Salads Elevated,4.0,151,$$,"['delivery', 'pickup']",False,"Salad, Sandwiches","salad, sandwiches",32.7799819,-96.8006744,US,TX,Dallas,75202
NgYw4oLuhrUmHmR-icZJ6w,Town Hearth,4.5,519,$$$,['delivery'],False,"American (Traditional), Seafood, Steakhouses","tradamerican, seafood, steak",32.79229,-96.822169,US,TX,Dallas,75207
1c-mSsWDHrTbGNC0CEOpSA,Pizza Leila,5.0,16,,['delivery'],False,Pizza,pizza,32.788005,-96.799673,US,TX,Dallas,75201
Q85_DUiQCmtxmRL0sS56aw,Truluck’s Ocean’s Finest Seafood and Crab,4.0,762,$$$,['delivery'],False,"Steakhouses, Seafood","steak, seafood",32.794429968597,-96.80262550422,US,TX,Dallas,75201
otooE54cPZ5hWH4hC-2JAg,Triniti - Tower Club,4.0,15,$$$,,False,"American (Traditional), American (New)","tradamerican, newamerican",32.7816970646381,-96.7981646955013,US,TX,Dallas,75201
-u5VKytWtYYiYf7RdJ3UDA,Cafe Momentum,4.5,194,$$,['delivery'],False,American (New),newamerican,32.78206186509047,-96.79946617055222,US,TX,Dallas,75201
_uoH_x4wP6sKcDpWx0zaeA,The Charles,4.5,178,$$$,['delivery'],False,Italian,italian,32.79308,-96.82186,US,TX,Dallas,75207
1jv0uZ_K1egUVhYm7eER5A,Bob's Steak & Chop House,4.5,233,$$$,['delivery'],False,"Steakhouses, Seafood","steak, seafood",32.7750141257401,-96.8037885563446,US,TX,Dallas,75202
kvcQrj5CutHBfSgcg236EA,Uncle Uber's,4.5,1265,$,"['delivery', 'pickup']",False,"Sandwiches, Burgers, Bars","sandwiches, burgers, bars",32.7834,-96.78341,US,TX,Dallas,75226
hkogslruOmSeg4dO3G4jog,Ka-Tip Thai Street Food,4.5,45,$$,,False,Thai,thai,32.776932,-96.789031,US,TX,Dallas,75201
CPQEBDq7cspBB_AFYHvTDw,Uchi,4.5,1371,$$$,,False,"Japanese, Sushi Bars, Seafood","japanese, sushi, seafood",32.79676,-96.8066599,US,TX,Dallas,75201
jCjIP-pgb1F_QNvIWnq9Aw,Sandoitchi,3.5,52,,,False,"Japanese, Sandwiches","japanese, sandwiches",32.784642,-96.780799,US,TX,Dallas,75226
whriBpnd_jLfeZL2_8KouQ,Dallas Fish Market,3.5,302,$$$,['delivery'],False,Seafood,seafood,32.780789,-96.799316,US,TX,Dallas,75201
2bTVBOJ40z_tLY0XfVMF1Q,Si Tapas,4.0,666,$$,['delivery'],False,"Spanish, Tapas Bars","spanish, tapas",32.79598,-96.79668,US,TX,Dallas,75204
ovmbjn4biVtrn2egqQUGqQ,Ravenna Italian Grille & Bar,4.0,228,$$,"['delivery', 'pickup']",False,"Italian, Steakhouses, Bars","italian, steak, bars",32.78002213,-96.8010794045157,US,TX,Dallas,75202
oxb8VpKm7q8KdsBxIhfjrg,Ounce by Zenner,5.0,1,,,False,"Tapas/Small Plates, Cocktail Bars","tapasmallplates, cocktailbars",32.77938552176123,-96.80002119999999,US,TX,Dallas,75202
WM--6SIp218cCEzqTDSAnQ,Catbird,4.0,11,,,False,"Bars, Tapas/Small Plates","bars, tapasmallplates",32.7814023,-96.7999534,US,TX,Dallas,75201
LiYys5glM0MO2A9rCkcFWA,XOXO Dining Room,3.5,147,,['delivery'],False,American (New),newamerican,32.794171,-96.791056,US,TX,Dallas,75204
ycL1qii6EpKXoLgMMboBIQ,Pecan Lodge,4.5,5090,$$,['delivery'],False,"Sandwiches, Barbeque, Southern","sandwiches, bbq, southern",32.7835884,-96.7838669,US,TX,Dallas,75226
DP1I3daE5-mKznnAeA-Q3w,The Woolworth,4.0,888,$$,"['restaurant_reservation', 'delivery']",False,"Cocktail Bars, Tapas/Small Plates, American (New)","cocktailbars, tapasmallplates, newamerican",32.781329,-96.798727,US,TX,Dallas,75204
-pvdnSkWhsHAeOC0TJleOQ,TRUE Kitchen + Kocktails,3.5,263,,"['pickup', 'delivery']",False,"Southern, Comfort Food","southern, comfortfood",32.7826,-96.79463,US,TX,Dallas,75201
geot2wZyok3s_H3l9e7Iqg,Jaxon Texas Kitchen & Beer Garden,4.0,122,$$,"['pickup', 'delivery']",False,"American (New), Beer Gardens","newamerican, beergardens",32.7786,-96.799444,US,TX,Dallas,75202
pX8jseEF57jr-xOyh3ij9w,Yardbird Southern Table & Bar,4.0,202,,"['pickup', 'delivery']",False,"Southern, Cocktail Bars, American (New)","southern, cocktailbars, newamerican",32.7909,-96.801195,US,TX,Dallas,75201
f6i2rU70xixptLYHfbtINg,CBD Provisions,4.0,1011,$$,"['pickup', 'delivery']",False,"American (Traditional), Steakhouses, Beer, Wine & Spirits","tradamerican, steak, beer_and_wine",32.780571,-96.7983932,US,TX,Dallas,75201
KSo_iNGEujNKPxy-WFZFyw,City Hall Bistro,4.5,193,$$,['delivery'],False,"Modern European, Spanish, Italian","modern_european, spanish, italian",32.7799,-96.79967,US,TX,Dallas,75202
CREIs-59rrp8OhG9VppCqA,Ellen's,4.0,2686,$$,"['restaurant_reservation', 'delivery']",False,"Southern, American (Traditional), Breakfast & Brunch","southern, tradamerican, breakfast_brunch",32.7818955295251,-96.8076125410698,US,TX,Dallas,75202
whIWTPTID5M4ooWp35dMDA,Chop House Burger,4.0,539,$$,"['pickup', 'delivery']",False,Burgers,burgers,32.7807758,-96.7993548,US,TX,Dallas,75201
Ihmg2gvybDPIUiIRcIfFmg,Royal 38,4.5,14,,,False,"American (New), Cocktail Bars","newamerican, cocktailbars",32.78948,-96.80563,US,TX,Dallas,75201
COpsoDr4gySfYDIMJ_qtEQ,Frankie's Downtown,4.0,501,$$,,False,"Sports Bars, American (Traditional), Breakfast & Brunch","sportsbars, tradamerican, breakfast_brunch",32.7804885,-96.8006992,US,TX,Dallas,75202
bB2ai7iXzB-CJFc1tcVXTw,Twisted Trompo,4.0,366,$,"['pickup', 'delivery']",False,"Mexican, Breakfast & Brunch","mexican, breakfast_brunch",32.7795635919134,-96.8013510954492,US,TX,Dallas,75202
ZqIshPGXEOFoXq71Gfum1g,Harwood Arms,4.0,6,,,False,"Fish & Chips, Whiskey Bars","fishnchips, whiskeybars",32.79495,-96.80901,US,TX,Dallas,75201
gsgAjzg_353PdHshdbcBRw,Wow Bao,1.0,2,,,False,"Food Delivery Services, Asian Fusion","fooddeliveryservices, asianfusion",32.78711,-96.79543,US,TX,Dallas,75201
Okn7XeuDEyaJTFRckC_vGQ,Otto's Coffee and Fine Foods,4.5,113,$,['delivery'],False,Cafes,cafes,32.7798649342387,-96.7999625193537,US,TX,Dallas,75202
HKEVpLN-OTU6hsXSM_SAIg,The Mitchell,4.0,112,$$,,False,"Bars, American (New)","bars, newamerican",32.7800932324671,-96.800259124982,US,TX,Dallas,75202
K6WTnxvhq8ppvj8v7TtQHA,Spice In The City Dallas,4.0,422,$$,"['pickup', 'delivery']",False,"Indian, Tex-Mex, Halal","indpak, tex-mex, halal",32.77998,-96.798,US,TX,Dallas,75201
vwQnJlj90NgYbbbVLQSpFg,Meso Maya Comida y Copas,4.5,2245,$$,['delivery'],False,"Mexican, New Mexican Cuisine","mexican, newmexican",32.7877819354234,-96.8049378803092,US,TX,Dallas,75202
AiUeb9L9Na9NbMyXJ204ZA,Rise + Thyme Cafe,4.5,13,,,False,"Breakfast & Brunch, Coffee & Tea","breakfast_brunch, coffee",32.77929,-96.80001,US,TX,Dallas,75202
IOdz8GcOx8WRKqsK2DCjfw,Nick & Sam's,4.0,1315,$$$$,['delivery'],False,"Steakhouses, Seafood","steak, seafood",32.798462335543,-96.8074539666488,US,TX,Dallas,75201
5yAcCvXU_gPK1z_PAGv-QA,The Exchange,5.0,2,,,False,Food Court,food_court,32.77929,-96.80001,US,TX,Dallas,75202
tE1mxJF_wHvAq7rVlJMmBg,Midnight Rambler,4.0,189,$$,,False,"American (New), Cocktail Bars","newamerican, cocktailbars",32.7807376,-96.7984467,US,TX,Dallas,75201
2du8UWngTa8anhmmYa-HdQ,Sky Blossom,4.0,109,$$,"['pickup', 'delivery']",False,"Vietnamese, Asian Fusion, Bars","vietnamese, asianfusion, bars",32.7812,-96.79903,US,TX,Dallas,75201
HpFbDC5PGQscdj49j6GaSw,The Empanada Cookhouse,4.5,53,,"['pickup', 'delivery']",False,"Empanadas, Latin American","empanadas, latin",32.7824625,-96.8048533,US,TX,Dallas,75202
8B2asBf5t77_9V2RH20YPg,WingBucket,4.0,525,$$,"['pickup', 'delivery']",False,"Chicken Wings, Chicken Shop, Soul Food","chicken_wings, chickenshop, soulfood",32.7800568007201,-96.8015836662705,US,TX,Dallas,75202
iQMXjmLL2ER_lljf404j-A,La Tarte Tropézienne,4.5,33,,,False,"Desserts, Patisserie/Cake Shop, French","desserts, cakeshop, french",32.7810076628829,-96.7973130941391,US,TX,Dallas,75201
Il32ChEdjkd5fxk0i-wf0A,Momo Shack Himalayan Dumplings,4.5,24,$,,False,"Himalayan/Nepalese, Food Stands","himalayan, foodstands",32.7840614318848,-96.794548034668,US,TX,Dallas,75201
OseLHyUULSVhYyyrr6okFg,Bullion,4.5,182,$$$,['delivery'],False,"Brasseries, Bars","brasseries, bars",32.77664,-96.805583,US,TX,Dallas,75202
yVuzaTxmVo3VqClZ5ID7aw,Texas Spice,4.0,403,$$,['delivery'],False,American (New),newamerican,32.7758770087906,-96.8047791739758,US,TX,Dallas,75202
sqhaTs9xc3G8OWHihGBipQ,Terry Black's Barbecue,4.5,396,$$,['delivery'],False,Barbeque,bbq,32.78488,-96.77984,US,TX,Dallas,75226
CNbNYbDVKUP8Cuv9RKTnvA,Nobu,4.0,575,$$$$,['delivery'],False,"Japanese, Sushi Bars, Asian Fusion","japanese, sushi, asianfusion",32.794255,-96.803958,US,TX,Dallas,75201
DFDzmTV_piFkr7AeKO8E6A,The French Room,4.0,102,$$$$,,False,French,french,32.7800839465349,-96.7997282,US,TX,Dallas,75202
_MCZEs60lSri5jAdcqTiYQ,Bread Zeppelin Salads Elevated,4.0,151,$$,"['pickup', 'delivery']",False,"Salad, Sandwiches","salad, sandwiches",32.7799819,-96.8006744,US,TX,Dallas,75202
NgYw4oLuhrUmHmR-icZJ6w,Town Hearth,4.5,519,$$$,['delivery'],False,"American (Traditional), Seafood, Steakhouses","tradamerican, seafood, steak",32.79229,-96.822169,US,TX,Dallas,75207
1c-mSsWDHrTbGNC0CEOpSA,Pizza Leila,5.0,16,,['delivery'],False,Pizza,pizza,32.788005,-96.799673,US,TX,Dallas,75201
Q85_DUiQCmtxmRL0sS56aw,Truluck’s Ocean’s Finest Seafood and Crab,4.0,762,$$$,['delivery'],False,"Steakhouses, Seafood","steak, seafood",32.794429968597,-96.80262550422,US,TX,Dallas,75201
otooE54cPZ5hWH4hC-2JAg,Triniti - Tower Club,4.0,15,$$$,,False,"American (Traditional), American (New)","tradamerican, newamerican",32.7816970646381,-96.7981646955013,US,TX,Dallas,75201
-u5VKytWtYYiYf7RdJ3UDA,Cafe Momentum,4.5,194,$$,['delivery'],False,American (New),newamerican,32.78206186509047,-96.79946617055222,US,TX,Dallas,75201
_uoH_x4wP6sKcDpWx0zaeA,The Charles,4.5,178,$$$,['delivery'],False,Italian,italian,32.79308,-96.82186,US,TX,Dallas,75207
1jv0uZ_K1egUVhYm7eER5A,Bob's Steak & Chop House,4.5,233,$$$,['delivery'],False,"Steakhouses, Seafood","steak, seafood",32.7750141257401,-96.8037885563446,US,TX,Dallas,75202
kvcQrj5CutHBfSgcg236EA,Uncle Uber's,4.5,1265,$,"['pickup', 'delivery']",False,"Sandwiches, Burgers, Bars","sandwiches, burgers, bars",32.7834,-96.78341,US,TX,Dallas,75226
hkogslruOmSeg4dO3G4jog,Ka-Tip Thai Street Food,4.5,45,$$,,False,Thai,thai,32.776932,-96.789031,US,TX,Dallas,75201
CPQEBDq7cspBB_AFYHvTDw,Uchi,4.5,1371,$$$,,False,"Japanese, Sushi Bars, Seafood","japanese, sushi, seafood",32.79676,-96.8066599,US,TX,Dallas,75201
jCjIP-pgb1F_QNvIWnq9Aw,Sandoitchi,3.5,52,,,False,"Japanese, Sandwiches","japanese, sandwiches",32.784642,-96.780799,US,TX,Dallas,75226
whriBpnd_jLfeZL2_8KouQ,Dallas Fish Market,3.5,302,$$$,['delivery'],False,Seafood,seafood,32.780789,-96.799316,US,TX,Dallas,75201
2bTVBOJ40z_tLY0XfVMF1Q,Si Tapas,4.0,666,$$,['delivery'],False,"Spanish, Tapas Bars","spanish, tapas",32.79598,-96.79668,US,TX,Dallas,75204
ovmbjn4biVtrn2egqQUGqQ,Ravenna Italian Grille & Bar,4.0,228,$$,"['pickup', 'delivery']",False,"Italian, Steakhouses, Bars","italian, steak, bars",32.78002213,-96.8010794045157,US,TX,Dallas,75202
oxb8VpKm7q8KdsBxIhfjrg,Ounce by Zenner,5.0,1,,,False,"Tapas/Small Plates, Cocktail Bars","tapasmallplates, cocktailbars",32.77938552176123,-96.80002119999999,US,TX,Dallas,75202
WM--6SIp218cCEzqTDSAnQ,Catbird,4.0,11,,,False,"Bars, Tapas/Small Plates","bars, tapasmallplates",32.7814023,-96.7999534,US,TX,Dallas,75201
LiYys5glM0MO2A9rCkcFWA,XOXO Dining Room,3.5,147,,['delivery'],False,American (New),newamerican,32.794171,-96.791056,US,TX,Dallas,75204
ycL1qii6EpKXoLgMMboBIQ,Pecan Lodge,4.5,5090,$$,['delivery'],False,"Sandwiches, Barbeque, Southern","sandwiches, bbq, southern",32.7835884,-96.7838669,US,TX,Dallas,75226
DP1I3daE5-mKznnAeA-Q3w,The Woolworth,4.0,888,$$,"['restaurant_reservation', 'delivery']",False,"Cocktail Bars, Tapas/Small Plates, American (New)","cocktailbars, tapasmallplates, newamerican",32.781329,-96.798727,US,TX,Dallas,75204
-pvdnSkWhsHAeOC0TJleOQ,TRUE Kitchen + Kocktails,3.5,263,,"['delivery', 'pickup']",False,"Southern, Comfort Food","southern, comfortfood",32.7826,-96.79463,US,TX,Dallas,75201
geot2wZyok3s_H3l9e7Iqg,Jaxon Texas Kitchen & Beer Garden,4.0,122,$$,"['delivery', 'pickup']",False,"American (New), Beer Gardens","newamerican, beergardens",32.7786,-96.799444,US,TX,Dallas,75202
pX8jseEF57jr-xOyh3ij9w,Yardbird Southern Table & Bar,4.0,202,,"['delivery', 'pickup']",False,"Southern, Cocktail Bars, American (New)","southern, cocktailbars, newamerican",32.7909,-96.801195,US,TX,Dallas,75201
f6i2rU70xixptLYHfbtINg,CBD Provisions,4.0,1011,$$,"['delivery', 'pickup']",False,"American (Traditional), Steakhouses, Beer, Wine & Spirits","tradamerican, steak, beer_and_wine",32.780571,-96.7983932,US,TX,Dallas,75201
KSo_iNGEujNKPxy-WFZFyw,City Hall Bistro,4.5,193,$$,['delivery'],False,"Modern European, Spanish, Italian","modern_european, spanish, italian",32.7799,-96.79967,US,TX,Dallas,75202
CREIs-59rrp8OhG9VppCqA,Ellen's,4.0,2686,$$,"['restaurant_reservation', 'delivery']",False,"Southern, American (Traditional), Breakfast & Brunch","southern, tradamerican, breakfast_brunch",32.7818955295251,-96.8076125410698,US,TX,Dallas,75202
whIWTPTID5M4ooWp35dMDA,Chop House Burger,4.0,539,$$,"['delivery', 'pickup']",False,Burgers,burgers,32.7807758,-96.7993548,US,TX,Dallas,75201
Ihmg2gvybDPIUiIRcIfFmg,Royal 38,4.5,14,,,False,"American (New), Cocktail Bars","newamerican, cocktailbars",32.78948,-96.80563,US,TX,Dallas,75201
COpsoDr4gySfYDIMJ_qtEQ,Frankie's Downtown,4.0,501,$$,,False,"Sports Bars, American (Traditional), Breakfast & Brunch","sportsbars, tradamerican, breakfast_brunch",32.7804885,-96.8006992,US,TX,Dallas,75202
bB2ai7iXzB-CJFc1tcVXTw,Twisted Trompo,4.0,366,$,"['delivery', 'pickup']",False,"Mexican, Breakfast & Brunch","mexican, breakfast_brunch",32.7795635919134,-96.8013510954492,US,TX,Dallas,75202
ZqIshPGXEOFoXq71Gfum1g,Harwood Arms,4.0,6,,,False,"Fish & Chips, Whiskey Bars","fishnchips, whiskeybars",32.79495,-96.80901,US,TX,Dallas,75201
gsgAjzg_353PdHshdbcBRw,Wow Bao,1.0,2,,,False,"Food Delivery Services, Asian Fusion","fooddeliveryservices, asianfusion",32.78711,-96.79543,US,TX,Dallas,75201
Okn7XeuDEyaJTFRckC_vGQ,Otto's Coffee and Fine Foods,4.5,113,$,['delivery'],False,Cafes,cafes,32.7798649342387,-96.7999625193537,US,TX,Dallas,75202
HKEVpLN-OTU6hsXSM_SAIg,The Mitchell,4.0,112,$$,,False,"Bars, American (New)","bars, newamerican",32.7800932324671,-96.800259124982,US,TX,Dallas,75202
K6WTnxvhq8ppvj8v7TtQHA,Spice In The City Dallas,4.0,422,$$,"['delivery', 'pickup']",False,"Indian, Tex-Mex, Halal","indpak, tex-mex, halal",32.77998,-96.798,US,TX,Dallas,75201
vwQnJlj90NgYbbbVLQSpFg,Meso Maya Comida y Copas,4.5,2245,$$,['delivery'],False,"Mexican, New Mexican Cuisine","mexican, newmexican",32.7877819354234,-96.8049378803092,US,TX,Dallas,75202
AiUeb9L9Na9NbMyXJ204ZA,Rise + Thyme Cafe,4.5,13,,,False,"Breakfast & Brunch, Coffee & Tea","breakfast_brunch, coffee",32.77929,-96.80001,US,TX,Dallas,75202
IOdz8GcOx8WRKqsK2DCjfw,Nick & Sam's,4.0,1315,$$$$,['delivery'],False,"Steakhouses, Seafood","steak, seafood",32.798462335543,-96.8074539666488,US,TX,Dallas,75201
5yAcCvXU_gPK1z_PAGv-QA,The Exchange,5.0,2,,,False,Food Court,food_court,32.77929,-96.80001,US,TX,Dallas,75202
tE1mxJF_wHvAq7rVlJMmBg,Midnight Rambler,4.0,189,$$,,False,"American (New), Cocktail Bars","newamerican, cocktailbars",32.7807376,-96.7984467,US,TX,Dallas,75201
2du8UWngTa8anhmmYa-HdQ,Sky Blossom,4.0,109,$$,"['delivery', 'pickup']",False,"Vietnamese, Asian Fusion, Bars","vietnamese, asianfusion, bars",32.7812,-96.79903,US,TX,Dallas,75201
HpFbDC5PGQscdj49j6GaSw,The Empanada Cookhouse,4.5,53,,"['delivery', 'pickup']",False,"Empanadas, Latin American","empanadas, latin",32.7824625,-96.8048533,US,TX,Dallas,75202
8B2asBf5t77_9V2RH20YPg,WingBucket,4.0,525,$$,"['delivery', 'pickup']",False,"Chicken Wings, Chicken Shop, Soul Food","chicken_wings, chickenshop, soulfood",32.7800568007201,-96.8015836662705,US,TX,Dallas,75202
iQMXjmLL2ER_lljf404j-A,La Tarte Tropézienne,4.5,33,,,False,"Desserts, Patisserie/Cake Shop, French","desserts, cakeshop, french",32.7810076628829,-96.7973130941391,US,TX,Dallas,75201
Il32ChEdjkd5fxk0i-wf0A,Momo Shack Himalayan Dumplings,4.5,24,$,,False,"Himalayan/Nepalese, Food Stands","himalayan, foodstands",32.7840614318848,-96.794548034668,US,TX,Dallas,75201
OseLHyUULSVhYyyrr6okFg,Bullion,4.5,182,$$$,['delivery'],False,"Brasseries, Bars","brasseries, bars",32.77664,-96.805583,US,TX,Dallas,75202
yVuzaTxmVo3VqClZ5ID7aw,Texas Spice,4.0,403,$$,['delivery'],False,American (New),newamerican,32.7758770087906,-96.8047791739758,US,TX,Dallas,75202
sqhaTs9xc3G8OWHihGBipQ,Terry Black's Barbecue,4.5,396,$$,['delivery'],False,Barbeque,bbq,32.78488,-96.77984,US,TX,Dallas,75226
CNbNYbDVKUP8Cuv9RKTnvA,Nobu,4.0,575,$$$$,['delivery'],False,"Japanese, Sushi Bars, Asian Fusion","japanese, sushi, asianfusion",32.794255,-96.803958,US,TX,Dallas,75201
DFDzmTV_piFkr7AeKO8E6A,The French Room,4.0,102,$$$$,,False,French,french,32.7800839465349,-96.7997282,US,TX,Dallas,75202
_MCZEs60lSri5jAdcqTiYQ,Bread Zeppelin Salads Elevated,4.0,151,$$,"['delivery', 'pickup']",False,"Salad, Sandwiches","salad, sandwiches",32.7799819,-96.8006744,US,TX,Dallas,75202
NgYw4oLuhrUmHmR-icZJ6w,Town Hearth,4.5,519,$$$,['delivery'],False,"American (Traditional), Seafood, Steakhouses","tradamerican, seafood, steak",32.79229,-96.822169,US,TX,Dallas,75207
1c-mSsWDHrTbGNC0CEOpSA,Pizza Leila,5.0,16,,['delivery'],False,Pizza,pizza,32.788005,-96.799673,US,TX,Dallas,75201
Q85_DUiQCmtxmRL0sS56aw,Truluck’s Ocean’s Finest Seafood and Crab,4.0,762,$$$,['delivery'],False,"Steakhouses, Seafood","steak, seafood",32.794429968597,-96.80262550422,US,TX,Dallas,75201
otooE54cPZ5hWH4hC-2JAg,Triniti - Tower Club,4.0,15,$$$,,False,"American (Traditional), American (New)","tradamerican, newamerican",32.7816970646381,-96.7981646955013,US,TX,Dallas,75201
-u5VKytWtYYiYf7RdJ3UDA,Cafe Momentum,4.5,194,$$,['delivery'],False,American (New),newamerican,32.78206186509047,-96.79946617055222,US,TX,Dallas,75201
_uoH_x4wP6sKcDpWx0zaeA,The Charles,4.5,178,$$$,['delivery'],False,Italian,italian,32.79308,-96.82186,US,TX,Dallas,75207
1jv0uZ_K1egUVhYm7eER5A,Bob's Steak & Chop House,4.5,233,$$$,['delivery'],False,"Steakhouses, Seafood","steak, seafood",32.7750141257401,-96.8037885563446,US,TX,Dallas,75202
kvcQrj5CutHBfSgcg236EA,Uncle Uber's,4.5,1265,$,"['delivery', 'pickup']",False,"Sandwiches, Burgers, Bars","sandwiches, burgers, bars",32.7834,-96.78341,US,TX,Dallas,75226
hkogslruOmSeg4dO3G4jog,Ka-Tip Thai Street Food,4.5,45,$$,,False,Thai,thai,32.776932,-96.789031,US,TX,Dallas,75201
CPQEBDq7cspBB_AFYHvTDw,Uchi,4.5,1371,$$$,,False,"Japanese, Sushi Bars, Seafood","japanese, sushi, seafood",32.79676,-96.8066599,US,TX,Dallas,75201
jCjIP-pgb1F_QNvIWnq9Aw,Sandoitchi,3.5,52,,,False,"Japanese, Sandwiches","japanese, sandwiches",32.784642,-96.780799,US,TX,Dallas,75226
whriBpnd_jLfeZL2_8KouQ,Dallas Fish Market,3.5,302,$$$,['delivery'],False,Seafood,seafood,32.780789,-96.799316,US,TX,Dallas,75201
2bTVBOJ40z_tLY0XfVMF1Q,Si Tapas,4.0,666,$$,['delivery'],False,"Spanish, Tapas Bars","spanish, tapas",32.79598,-96.79668,US,TX,Dallas,75204
ovmbjn4biVtrn2egqQUGqQ,Ravenna Italian Grille & Bar,4.0,228,$$,"['delivery', 'pickup']",False,"Italian, Steakhouses, Bars","italian, steak, bars",32.78002213,-96.8010794045157,US,TX,Dallas,75202
oxb8VpKm7q8KdsBxIhfjrg,Ounce by Zenner,5.0,1,,,False,"Tapas/Small Plates, Cocktail Bars","tapasmallplates, cocktailbars",32.77938552176123,-96.80002119999999,US,TX,Dallas,75202
WFgB3gb3PZgpjHlqmOFc8Q,Kendall Karsen’s Upscale Soul Food,4.5,57,,['delivery'],False,Soul Food,soulfood,32.696901,-96.840618,US,TX,Dallas,75224
_wu3uzPX6WuM31AlqrWppg,Frida’s Tacolandia,5.0,21,,"['pickup', 'delivery']",False,Mexican,mexican,32.7048210596465,-96.8418928492995,US,TX,Dallas,75224
-n1lae9xLeNeHjTKlS6A7A,Maskaras Mexican Grill,4.5,157,$,"['pickup', 'delivery']",False,Mexican,mexican,32.70624,-96.857917,US,TX,Dallas,75233
eHlK887xsgppt9pEcmHtcQ,Wingfield's Breakfast & Burger,4.0,267,$,['pickup'],False,"Burgers, Breakfast & Brunch","burgers, breakfast_brunch",32.71626,-96.82321,US,TX,Dallas,75224
bvkG57yUcmO7hlHgIsuhsQ,Catfish Connection,4.0,101,$,['delivery'],False,"Seafood, Southern","seafood, southern",32.7051998,-96.8592594,US,TX,Dallas,75233
DjIBD2J04nTovQnUgHD0Eg,Cactus Mexican Cuisine,4.0,5,,['delivery'],False,Mexican,mexican,32.72628933,-96.845162,US,TX,Dallas,75224
XiBvgAO4peAu9ZfDZ0ktsg,Lulu's Authentic Mexican Restaurant,4.0,15,$,['delivery'],False,Mexican,mexican,32.72527,-96.84333,US,TX,Dallas,75224
bh1X6tQSLTTbERfzG3yEtA,AjGreek & Gyro,4.5,37,,"['pickup', 'delivery']",False,"Mediterranean, Greek, Sandwiches","mediterranean, greek, sandwiches",32.69204417,-96.85529667,US,TX,Dallas,75224
gxHHaHESN5JN7VDk7hBPIg,Chinese Kitchen,3.5,26,$,,False,Chinese,chinese,32.696888,-96.840585,US,TX,Dallas,75224
kuYcq60AT4o8BuY5FxQ2rQ,Mi Sazon Mexican Restaurant,4.0,46,$,['delivery'],False,Mexican,mexican,32.700734,-96.840544,US,TX,Dallas,75224
8QZoPMJlREy2p0l0HNGZNw,El Norteno - Dallas,4.5,9,,,False,"Tacos, Street Vendors","tacos, streetvendors",32.7130944153954,-96.8204198059959,US,TX,Dallas,75216
RwAhXhB1XJOz3ZWUQGBf4g,The Original Chicken-N-Rice,3.5,16,$,['delivery'],False,"American (Traditional), Chinese","tradamerican, chinese",32.72065,-96.85774,US,TX,Dallas,75224
hwEoE7P0GKtQgLcQA5KIWw,Peaberry Coffee,5.0,44,$,['delivery'],False,"Cafes, Coffee & Tea, Donuts","cafes, coffee, donuts",32.70545,-96.85886,US,TX,Dallas,75233
